id,name,localId,category,rarity,set_id,set_name,set_series,artist,illustrator,hp,types,stage,attack_count,attacks_json,weaknesses_json,resistances_json,retreat,regulation_mark,image_small,image_high,variants_json,cardmarket_url,cardmarket_updated_at,cardmarket_avg1,cardmarket_avg7,cardmarket_avg30,cardmarket_low_price,cardmarket_trend,cardmarket_reverse_holo_sell,cardmarket_reverse_holo_low,cardmarket_reverse_holo_trend,tcgplayer_updated_at,tcgplayer_prices_json,cardmarket_updated_at,cardmarket_avg,cardmarket_low,cardmarket_trend,cardmarket_avg1,cardmarket_avg7,cardmarket_avg30,cardmarket_avg_holo,cardmarket_low_holo,cardmarket_trend_holo,normal_market,reverse_market,holo_market,raw_estimate,ace8_estimate,ace9_estimate,ace10_estimate
me02-012,Charmeleon,12,Pokemon,Common,me02,Phantasmal Flames,,,Uninori,110,Fire,Stage1,1,"[{""cost"": [""Fire""], ""name"": ""Steady Firebreathing"", ""damage"": 40}]",[],[],2,I,https://assets.tcgdex.net/en/me/me02/012/low.png,https://assets.tcgdex.net/en/me/me02/012/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.23,0.04,0.03,0.02,0.05,,,,,{},2026-05-30T00:47:09.000Z,0.03,0.02,0.05,0.23,0.04,0.03,0.12,0.02,0.11,,,,0.03,,14.54,
mep-012,Mega Lucario ex,12,Pokemon,None,mep,MEP Black Star Promos,,,5ban Graphics,340,Fighting,Stage1,2,"[{""cost"": [""Fighting""], ""name"": ""Aura Jab"", ""effect"": ""Attach up to 3 Basic {F} Energy cards from your discard pile to your Benched Pok\u00e9mon in any way you like."", ""damage"": 130}, {""cost"": [""Fighting"", ""Fighting""], ""name"": ""Mega Brave"", ""effect"": ""During your next turn, this Pok\u00e9mon can't use Mega Brave."", ""damage"": 270}]",[],[],2,I,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,1.67,1.47,1.47,0.35,1.36,,,,,{},2026-05-30T00:47:09.000Z,1.47,0.35,1.36,1.67,1.47,1.47,,,0,,,,1.47,,,
me04-012,Braixen,12,Pokemon,Common,me04,Chaos Rising,,,Taiga Kasai,100,Fire,Stage1,1,"[{""cost"": [""Fire"", ""Fire""], ""name"": ""Flamethrower"", ""effect"": ""Discard an Energy from this Pok\u00e9mon."", ""damage"": 80}]","[{""type"": ""Water"", ""value"": ""\u00d72""}]",[],1,J,https://assets.tcgdex.net/en/me/me04/012/low.png,https://assets.tcgdex.net/en/me/me04/012/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.04,0.07,0.07,0.02,0.07,,,,,{},2026-05-30T00:47:09.000Z,0.06,0.02,0.07,0.04,0.07,0.07,0.17,0.02,0.07,,,,0.07,,,
me01-012,Celebi,12,Pokemon,Uncommon,me01,Mega Evolution,,,Naoki Saito,80,Grass,Basic,2,"[{""cost"": [""Grass""], ""name"": ""Traverse Time"", ""effect"": ""Search your deck for up to 3 in any combination of {G} Pok\u00e9mon and Stadium cards, reveal them, and put them into your hand. Then, shuffle your deck.""}, {""cost"": [""Grass""], ""name"": ""Solar Cutter"", ""damage"": 30}]",[],[],1,I,https://assets.tcgdex.net/en/me/me01/012/low.png,https://assets.tcgdex.net/en/me/me01/012/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.06,0.07,0.04,0.02,0.07,,,,,{},2026-05-30T00:47:09.000Z,0.04,0.02,0.07,0.06,0.07,0.04,0.15,0.02,0.16,,,,0.04,,,
xy6-12,Tropius,12,Pokemon,Uncommon,xy6,Roaring Skies,,,Kyoko Umemoto,110,Grass,Basic,2,"[{""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Stomp"", ""effect"": ""Flip a coin. If heads, this attack does 20 more damage."", ""damage"": ""50+""}, {""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Solar Beam"", ""damage"": 80}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],2,,https://assets.tcgdex.net/en/xy/xy6/12/low.png,https://assets.tcgdex.net/en/xy/xy6/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.05,0.11,0.16,0.02,0.12,,,,,{},2026-05-30T00:47:09.000Z,0.13,0.02,0.12,0.05,0.11,0.16,0.86,0.02,0.68,,,,0.16,,,
me02.5-012,Silcoon,12,Pokemon,Common,me02.5,Ascended Heroes,,,Eri Yamaki,90,Grass,Stage1,1,"[{""cost"": [""Grass""], ""name"": ""Tackle"", ""damage"": 30}]",[],[],3,I,https://assets.tcgdex.net/en/me/me02.5/012/low.png,https://assets.tcgdex.net/en/me/me02.5/012/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": true, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.2,0.05,0.04,0.02,0.05,,,,,{},2026-05-30T00:47:09.000Z,0.04,0.02,0.05,0.2,0.05,0.04,,,0,,,,0.04,,,
xy10-12,Braixen,12,Pokemon,Uncommon,xy10,Fates Collide,,,kirisAki,80,Fire,Stage1,2,"[{""cost"": [""Fire""], ""name"": ""Destructive Flame"", ""effect"": ""Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon."", ""damage"": 20}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Crackling Ribbon"", ""damage"": 30}]","[{""type"": ""Water"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/xy/xy10/12/low.png,https://assets.tcgdex.net/en/xy/xy10/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.13,0.14,0.16,0.02,0.08,,,,,{},2026-05-30T00:47:09.000Z,0.11,0.02,0.08,0.13,0.14,0.16,0.51,0.3,0.61,,,,0.16,,,
pop3-12,Ditto,12,Pokemon,Common,pop3,POP Series 3,,,Yuka Morii,60,Psychic,Basic,1,"[{""cost"": [""Psychic"", ""Colorless""], ""name"": ""Psybeam"", ""effect"": ""Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused."", ""damage"": 20}]","[{""type"": ""Psychic""}]",[],1,,https://assets.tcgdex.net/en/pop/pop3/12/low.png,https://assets.tcgdex.net/en/pop/pop3/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,30,15.26,11.61,4.43,11.59,,,,,{},2026-05-30T00:47:09.000Z,10.85,4.43,11.59,30,15.26,11.61,,100,3,,,,11.61,,,
pop8-12,Chimchar,12,Pokemon,Common,pop8,POP Series 8,,,Kagemaru Himeno,50,Fire,Basic,2,"[{""name"": ""Scratch"", ""damage"": 10}, {""cost"": [""Fire"", ""Colorless""], ""name"": ""Ember"", ""effect"": ""Flip a coin. If tails, discard a Fire Energy attached to Chimchar."", ""damage"": 30}]","[{""type"": ""Water"", ""value"": ""+10""}]",[],1,,https://assets.tcgdex.net/en/pop/pop8/12/low.png,https://assets.tcgdex.net/en/pop/pop8/12/high.png,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.8,0.78,0.81,0.05,0.95,,,,,{},2026-05-30T00:47:09.000Z,1.07,0.05,0.95,0.8,0.78,0.81,,,22.95,,,,0.81,,,
np-12,Pikachu,12,Pokemon,Common,np,Nintendo Black Star Promos,,,Kouki Saitou,50,Lightning,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Agility"", ""effect"": ""Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.""}, {""cost"": [""Lightning"", ""Colorless""], ""name"": ""Thundershock"", ""effect"": ""Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed."", ""damage"": 20}]","[{""type"": ""Fighting"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/pop/np/12/low.png,https://assets.tcgdex.net/en/pop/np/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,,,,,,,,,,,{},,,,,,,,,,,,,,,,,
pop1-12,Minun,12,Pokemon,Common,pop1,POP Series 1,,,Ken Sugimori,50,Lightning,Basic,2,"[{""cost"": [""Lightning""], ""name"": ""Thunder Wave"", ""effect"": ""Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed."", ""damage"": 10}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Spark"", ""effect"": ""Choose 2 of your opponent\u2019s Benched Pok\u00e9mon. This attack does 10 damage to each of those Pok\u00e9mon. (Don\u2019t apply Weakness and Resistance for Benched Pok\u00e9mon.)"", ""damage"": 10}]","[{""type"": ""Fighting""}]","[{""type"": ""Metal"", ""value"": ""-30""}]",1,,https://assets.tcgdex.net/en/pop/pop1/12/low.png,https://assets.tcgdex.net/en/pop/pop1/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,4.43,3.13,3.14,0.15,2.62,,,,,{},2026-05-30T00:47:09.000Z,3.59,0.15,2.62,4.43,3.13,3.14,,,0.14,,,,3.14,,,
pop4-12,Pidgey,12,Pokemon,Common,pop4,POP Series 4,,,Hisao Nakamura,40,Colorless,Basic,1,"[{""cost"": [""Colorless"", ""Colorless""], ""name"": ""Quick Attack"", ""effect"": ""Flip a coin. If heads, this attack does 20 damage plus 10 more damage."", ""damage"": ""20+""}]","[{""type"": ""Lightning""}]","[{""type"": ""Fighting"", ""value"": ""-30""}]",1,,https://assets.tcgdex.net/en/pop/pop4/12/low.png,https://assets.tcgdex.net/en/pop/pop4/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,9.99,7.43,5.85,0.25,9.15,,,,,{},2026-05-30T00:47:09.000Z,8.24,0.25,9.15,9.99,7.43,5.85,,,0,,,,5.85,,,
xy8-12,Chesnaught BREAK,12,Pokemon,Ultra Rare,xy8,BREAKthrough,,,5ban Graphics,190,Grass,BREAK,1,"[{""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""name"": ""Tough Hammer"", ""effect"": ""This Pok\u00e9mon does 30 damage to itself. This attack does 30 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)"", ""damage"": 160}]",[],[],0,,https://assets.tcgdex.net/en/xy/xy8/12/low.png,https://assets.tcgdex.net/en/xy/xy8/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,3.51,3.74,3.03,0.49,3.21,,,,,{},2026-05-30T00:47:09.000Z,3.02,0.49,3.21,3.51,3.74,3.03,,1.5,3.36,,,,3.03,,,
pop6-12,Buneary,12,Pokemon,Common,pop6,POP Series 6,,,Kagemaru Himeno,50,Colorless,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Splash"", ""damage"": 10}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Jump Kick"", ""effect"": ""Does 10 damage to 1 of your opponent\u2019s Benched Pok\u00e9mon. (Don\u2019t apply Weakness and Resistance for Benched Pok\u00e9mon.)"", ""damage"": 10}]","[{""type"": ""Fighting"", ""value"": ""+10""}]",[],1,,https://assets.tcgdex.net/en/pop/pop6/12/low.png,https://assets.tcgdex.net/en/pop/pop6/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,4,1.78,1.27,1.5,2.03,,,,,{},2026-05-30T00:47:09.000Z,4,1.5,2.03,4,1.78,1.27,,,0,,,,1.27,,,
dc1-12,Team Magma's Aron,12,Pokemon,Common,dc1,Double Crisis,,,Akira Komayama,60,Fighting,Basic,1,"[{""cost"": [""Fighting""], ""name"": ""Gnaw"", ""damage"": 10}]","[{""type"": ""Grass"", ""value"": ""\u00d72""}]",[],2,,https://assets.tcgdex.net/en/xy/dc1/12/low.png,https://assets.tcgdex.net/en/xy/dc1/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,2.9,3.65,3.27,0.8,3.41,,,,,{},2026-05-30T00:47:09.000Z,2.87,0.8,3.41,2.9,3.65,3.27,12.5,4,9.13,,,,3.27,,,
pop2-12,Bulbasaur,12,Pokemon,Common,pop2,POP Series 2,,,Midori Harada,40,Grass,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Bite"", ""damage"": 10}, {""cost"": [""Grass"", ""Colorless""], ""name"": ""Razor Leaf"", ""damage"": 20}]","[{""type"": ""Psychic""}]",[],1,,https://assets.tcgdex.net/en/pop/pop2/12/low.png,https://assets.tcgdex.net/en/pop/pop2/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,19.95,19.49,20.91,5,21.44,,,,,{},2026-05-30T00:47:09.000Z,22.19,5,21.44,19.95,19.49,20.91,,,5,,,,20.91,,,
pop9-12,Buneary,12,Pokemon,Common,pop9,POP Series 9,,,Midori Harada,50,Colorless,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Dizzy Punch"", ""effect"": ""Flip 2 coins. This attack does 10 damage times the number of heads."", ""damage"": ""10\u00d7""}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Defense Curl"", ""effect"": ""Flip a coin. If heads, prevent all damage done to Buneary by attacks during your opponent\u2019s next turn.""}]","[{""type"": ""Fighting"", ""value"": ""+10""}]",[],1,,https://assets.tcgdex.net/en/pop/pop9/12/low.png,https://assets.tcgdex.net/en/pop/pop9/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.79,0.61,0.43,0.1,0.49,,,,,{},2026-05-30T00:47:09.000Z,0.46,0.1,0.49,0.79,0.61,0.43,,,0.1,,,,0.43,,,
pop5-12,Pikachu,12,Pokemon,Common,pop5,POP Series 5,,,Naoyo Kimura,50,Lightning,Basic,2,"[{""cost"": [""Lightning""], ""name"": ""Lightning Ball"", ""damage"": 10}, {""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""name"": ""Thunderbolt"", ""effect"": ""Discard all Energy cards attached to Pikachu."", ""damage"": 50}]","[{""type"": ""Fighting""}]",[],1,,https://assets.tcgdex.net/en/pop/pop5/12/low.png,https://assets.tcgdex.net/en/pop/pop5/12/high.png,"{""firstEdition"": false, ""holo"": true, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,62.22,77.27,67.17,35,118.15,,,,,{},2026-05-30T00:47:09.000Z,87.43,35,118.15,62.22,77.27,67.17,,950,194.06,,,,67.17,,,
pop7-12,Burmy Sandy Cloak,12,Pokemon,Common,pop7,POP Series 7,,,Midori Harada,40,Grass,Basic,1,"[{""cost"": [""Colorless""], ""name"": ""Sandy Cloak Tackle"", ""effect"": ""If Burmy Sandy Cloak has any Fighting Energy attached to it, this attack does 10 damage plus 10 more damage."", ""damage"": ""10+""}]","[{""type"": ""Fire"", ""value"": ""+10""}]",[],1,,https://assets.tcgdex.net/en/pop/pop7/12/low.png,https://assets.tcgdex.net/en/pop/pop7/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.65,0.65,0.66,0.25,0.63,,,,,{},2026-05-30T00:47:09.000Z,0.57,0.25,0.63,0.65,0.65,0.66,,,0,,,,0.66,,,
xy3-12,Torchic,12,Pokemon,Common,xy3,Furious Fists,,,Sanosuke Sakuma,60,Fire,Basic,1,"[{""cost"": [""Fire"", ""Colorless""], ""name"": ""Quick Attack"", ""effect"": ""Flip a coin. If heads, this attack does 30 more damage."", ""damage"": ""10+""}]","[{""type"": ""Water"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/xy/xy3/12/low.png,https://assets.tcgdex.net/en/xy/xy3/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.15,0.26,0.21,0.02,0.27,,,,,{},2026-05-30T00:47:09.000Z,0.27,0.02,0.27,0.15,0.26,0.21,0.93,0.08,0.79,,,,0.21,,,
2017sm-12,Yungoos,12,Pokemon,None,2017sm,McDonald's Collection 2017,,,match,70,Colorless,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Tackle"", ""damage"": ""10""}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Bite"", ""damage"": ""20""}]",[],[],0,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,6.25,2.33,1.57,0.06,1.88,,,,,{},2026-05-30T00:47:09.000Z,1.2,0.06,1.88,6.25,2.33,1.57,,,1.39,,,,1.57,,,
xy12-12,Charizard EX,12,Pokemon,Ultra Rare,xy12,Evolutions,,,PLANETA,180,Fire,Basic,2,"[{""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Wing Attack"", ""damage"": 60}, {""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""name"": ""Combustion Blast"", ""effect"": ""This Pok\u00e9mon can't use Combustion Blast during your next turn."", ""damage"": 150}]","[{""type"": ""Water"", ""value"": ""\u00d72""}]",[],2,,https://assets.tcgdex.net/en/xy/xy12/12/low.png,https://assets.tcgdex.net/en/xy/xy12/12/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,17.25,15.46,16.33,4.94,15.96,,,,,{},2026-05-30T00:47:09.000Z,16.53,4.94,15.96,17.25,15.46,16.33,,,20.41,,,,16.33,,,156.7
sv06.5-012,Kingdra ex,12,Pokemon,Double rare,sv06.5,Shrouded Fable,,,toriyufu,310,Water,Stage2,2,"[{""cost"": [""Water""], ""name"": ""King's Order"", ""effect"": ""Put up to 3 {W} Pok\u00e9mon from your discard pile onto your Bench.""}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Hydro Pump"", ""effect"": ""This attack does 50 more damage for each {W} Energy attached to this Pok\u00e9mon."", ""damage"": ""50+""}]",[],[],1,H,https://assets.tcgdex.net/en/sv/sv06.5/012/low.png,https://assets.tcgdex.net/en/sv/sv06.5/012/high.png,"{""firstEdition"": false, ""holo"": false, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.56,0.62,0.65,0.1,0.66,,,,,{},2026-05-30T00:47:09.000Z,0.65,0.1,0.66,0.56,0.62,0.65,,,0,,,,0.65,,,
2019sm-12,Eevee,12,Pokemon,None,2019sm,McDonald's Collection 2019,,,Atsuko Nishida,60,Colorless,Basic,1,"[{""name"": ""Gnaw"", ""damage"": 20}]","[{""type"": ""Fighting"", ""value"": ""\u00d72""}]",[],1,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,2.5,4.45,4.96,0.99,5.05,,,,,{},2026-05-30T00:47:09.000Z,4.76,0.99,5.05,2.5,4.45,4.96,,,3.76,,,,4.96,,,
hgss4-12,Victreebel,12,Pokemon,Rare Holo,hgss4,Triumphant,,,Midori Harada,110,Grass,Stage2,1,"[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Acidic Drain"", ""effect"": ""The Defending Pok\u00e9mon is now Burned and Poisoned. Remove 3 damage counters from Victreebel."", ""damage"": 30}]","[{""type"": ""Fire"", ""value"": ""\u00d72""}]",[],2,,https://assets.tcgdex.net/en/hgss/hgss4/12/low.png,https://assets.tcgdex.net/en/hgss/hgss4/12/high.png,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,3.6,4.39,3.22,0.98,3.55,,,,,{},2026-05-30T00:47:09.000Z,3.74,0.98,3.55,3.6,4.39,3.22,2.49,1,2.98,,,,3.22,,,
2018sm-12,Porygon,12,Pokemon,None,2018sm,McDonald's Collection 2018,,,Shin Nagasawa,60,Colorless,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Code Check"", ""effect"": ""Look at 1 of your opponent's face-down Prize cards.""}, {""cost"": [""Colorless""], ""name"": ""Beam"", ""damage"": 10}]","[{""type"": ""Fighting"", ""value"": ""\u00d72""}]",[],1,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,9.95,3.99,2.21,0.2,3.08,,,,,{},2026-05-30T00:47:09.000Z,3.24,0.2,3.08,9.95,3.99,2.21,,,1.76,,,,2.21,,,
2022swsh-12,Bewear,12,Pokemon,None,2022swsh,McDonald's Collection 2022,,,Shigenori Negishi,130,Fighting,Stage1,2,"[{""cost"": [""Fighting"", ""Colorless""], ""name"": ""Split Spiral Punch"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Confused."", ""damage"": 40}, {""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""name"": ""Strength"", ""damage"": 130}]","[{""type"": ""Psychic"", ""value"": ""\u00d72""}]",[],3,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.12,0.05,0.07,0.02,0.07,,,,,{},2026-05-30T00:47:09.000Z,0.07,0.02,0.07,0.12,0.05,0.07,,,0,,,,0.07,,,
2011bw-12,Audino,12,Pokemon,None,2011bw,McDonald's Collection 2011,,,MAHOU,80,Colorless,Basic,1,"[{""name"": ""Double Slap"", ""effect"": ""Flip 2 coins. This attack does 30 damage times the number of heads."", ""damage"": ""30\u00d7""}]",[],[],0,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,2,2.54,1.79,0.05,2.81,,,,,{},2026-05-30T00:47:09.000Z,2.04,0.05,2.81,2,2.54,1.79,,,0.52,,,,1.79,,,
base3-12,Moltres,12,Pokemon,Rare,base3,Fossil,,,Mitsuhiro Arita,70,Fire,Basic,2,"[{""cost"": [""Fire""], ""name"": ""Wildfire"", ""effect"": ""You may discard any number of R Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck.""}, {""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""name"": ""Dive Bomb"", ""effect"": ""Flip a coin. If tails, this attack does nothing."", ""damage"": 80}]",[],"[{""type"": ""Fighting"", ""value"": ""-30""}]",2,,https://assets.tcgdex.net/en/base/base3/12/low.png,https://assets.tcgdex.net/en/base/base3/12/high.png,"{""firstEdition"": true, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,42.29,62.29,55.41,8,61.05,,,,,{},2026-05-30T00:47:09.000Z,51.61,8,61.05,42.29,62.29,55.41,,,29.41,,,,55.41,,,
2023sv-12,Blissey,12,Pokemon,None,2023sv,McDonald's Collection 2023,,,chibi,150,Colorless,Stage2,1,"[{""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Happy Cyclone"", ""effect"": ""Move all Energy from this Pok\u00e9mon to 1 of your Benched Pok\u00e9mon."", ""damage"": 150}]","[{""type"": ""Fighting"", ""value"": ""\u00d72""}]",[],2,,,,"{""firstEdition"": false, ""holo"": false, ""normal"": true, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.02,0.1,0.09,0.02,0.09,,,,,{},2026-05-30T00:47:09.000Z,0.07,0.02,0.09,0.02,0.1,0.09,,,0,,,,0.09,,,
base2-12,Vaporeon,12,Pokemon,Rare,base2,Jungle,,,Kagemaru Himeno,80,Water,Stage1,2,"[{""cost"": [""Colorless"", ""Colorless""], ""name"": ""Quick Attack"", ""effect"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage."", ""damage"": ""10+""}, {""cost"": [""Water"", ""Water"", ""Colorless""], ""name"": ""Water Gun"", ""effect"": ""Does 30 damage plus 10 more damage for each Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Energy after the 2nd doesn't count."", ""damage"": ""30+""}]","[{""type"": ""Lightning"", ""value"": ""\u00d72""}]",[],1,,https://assets.tcgdex.net/en/base/base2/12/low.png,https://assets.tcgdex.net/en/base/base2/12/high.png,"{""firstEdition"": true, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,18.22,12.86,17.84,0.9,21.7,,,,,{},2026-05-30T00:47:09.000Z,22.15,0.9,21.7,18.22,12.86,17.84,,,8.72,,,,17.84,,,
2012bw-12,Axew,12,Pokemon,None,2012bw,McDonald's Collection 2012,,,Atsuko Nishida,60,Colorless,Basic,1,"[{""name"": ""Dual Chop"", ""effect"": ""Flip 2 coins. This attack does 10 damage times the number of heads."", ""damage"": ""10\u00d7""}]",[],[],0,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,29.95,28.98,15.35,18,25.92,,,,,{},2026-05-30T00:47:09.000Z,31.22,18,25.92,29.95,28.98,15.35,,,6.31,,,,15.35,,,
2014xy-12,Furfrou,12,Pokemon,None,2014xy,McDonald's Collection 2014,,,5ban Graphics,90,Colorless,Basic,2,"[{""cost"": [""Colorless"", ""Colorless""], ""name"": ""Tight Jaw"", ""effect"": ""Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed."", ""damage"": ""20""}, {""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Sharp Fang"", ""damage"": ""50""}]","[{""type"": ""Fighting"", ""value"": ""\u00d72""}]",[],1,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,0.3,9.03,4.64,0.1,5.99,,,,,{},2026-05-30T00:47:09.000Z,10.23,0.1,5.99,0.3,9.03,4.64,,,15.65,,,,4.64,,,
2015xy-12,Skitty,12,Pokemon,None,2015xy,McDonald's Collection 2015,,,Yuka Morii,50,Colorless,Basic,2,"[{""cost"": [""Colorless""], ""name"": ""Charm"", ""effect"": ""During your opponent's next turn, any damage done by attacks from the Defending Pok\u00e9mon is reduced by 20 (before applying weakness and resistance).""}, {""cost"": [""Colorless"", ""Colorless""], ""name"": ""Tail Smack"", ""damage"": ""20""}]",[],[],1,,,,"{""firstEdition"": false, ""holo"": true, ""normal"": false, ""reverse"": false, ""wPromo"": false}",,2026-05-30T00:47:09.000Z,2.75,10.17,7.07,2.17,11.82,,,,,{},2026-05-30T00:47:09.000Z,13.49,2.17,11.82,2.75,10.17,7.07,,,4.17,,,,7.07,,,
